iter	Passed	Remaining
0	152	151875
1	166	82950
2	167	55738
3	169	42149
4	172	34310
5	176	29224
6	179	25429
7	180	22427
8	182	20075
9	183	18181
10	187	16886
11	189	15625
12	191	14528
13	193	13595
14	199	13093
15	208	12802
16	214	12411
17	220	12008
18	222	11473
19	230	11279
20	270	12612
21	276	12290
22	383	16305
23	387	15770
24	414	16178
25	423	15847
26	438	15784
27	462	16068
28	484	16215
29	487	15771
30	499	15608
31	512	15493
32	523	15343
33	541	15373
34	555	15307
35	561	15038
36	620	16155
37	625	15847
38	665	16399
39	699	16777
40	713	16685
41	743	16966
42	758	16886
43	770	16730
44	778	16514
45	787	16331
46	796	16147
47	798	15835
48	899	17452
49	933	17738
50	998	18588
51	1014	18490
52	1027	18360
53	1039	18204
54	1048	18017
55	1059	17854
56	1064	17603
57	1071	17397
58	1073	17122
59	1091	17093
60	1115	17174
61	1123	16992
62	1175	17478
63	1182	17291
64	1184	17045
65	1190	16844
66	1197	16679
67	1199	16446
68	1204	16256
69	1207	16047
70	1219	15955
71	1225	15801
72	1228	15595
73	1304	16318
74	1314	16206
75	1316	16000
76	1318	15806
77	1320	15613
78	1345	15683
79	1347	15498
80	1355	15383
81	1404	15724
82	1407	15545
83	1410	15376
84	1411	15199
85	1416	15050
86	1419	14895
87	1421	14732
88	1435	14692
89	1438	14543
90	1440	14391
91	1442	14238
92	1447	14119
93	1449	13971
94	1452	13834
95	1454	13695
96	1456	13557
97	1459	13431
98	1462	13314
99	1464	13182
100	1466	13050
101	1468	12926
102	1469	12800
103	1471	12675
104	1472	12554
105	1477	12458
106	1480	12353
107	1482	12247
108	1484	12136
109	1486	12027
110	1489	11931
111	1494	11850
112	1498	11759
113	1500	11658
114	1502	11560
115	1505	11471
116	1507	11375
117	1509	11284
118	1511	11193
119	1513	11099
120	1515	11008
121	1522	10956
122	1525	10875
123	1527	10789
124	1528	10702
125	1533	10633
126	1536	10564
127	1539	10485
128	1542	10411
129	1544	10332
130	1547	10265
131	1551	10199
132	1552	10123
133	1554	10047
134	1556	9974
135	1558	9900
136	1561	9837
137	1566	9783
138	1569	9719
139	1571	9652
140	1573	9584
141	1574	9514
142	1578	9457
143	1579	9390
144	1581	9324
145	1582	9259
146	1584	9195
147	1586	9131
148	1588	9070
149	1591	9017
150	1592	8956
151	1594	8896
152	1596	8836
153	1598	8782
154	1600	8724
155	1604	8679
156	1606	8626
157	1608	8570
158	1609	8514
159	1611	8462
160	1612	8404
161	1614	8350
162	1615	8298
163	1619	8257
164	1621	8206
165	1623	8154
166	1624	8104
167	1626	8056
168	1629	8010
169	1633	7975
170	1635	7929
171	1637	7882
172	1639	7835
173	1641	7790
174	1642	7745
175	1644	7701
176	1648	7663
177	1649	7619
178	1651	7575
179	1654	7536
180	1656	7496
181	1661	7468
182	1663	7427
183	1665	7385
184	1667	7344
185	1670	7312
186	1674	7282
187	1676	7242
188	1678	7202
189	1680	7162
190	1682	7125
191	1684	7087
192	1686	7050
193	1690	7024
194	1692	6987
195	1695	6954
196	1697	6919
197	1699	6882
198	1702	6852
199	1704	6819
200	1706	6783
201	1708	6750
202	1711	6718
203	1712	6683
204	1714	6649
205	1717	6621
206	1719	6589
207	1721	6556
208	1723	6522
209	1725	6491
210	1727	6459
211	1729	6427
212	1732	6400
213	1733	6368
214	1735	6336
215	1737	6304
216	1738	6274
217	1740	6243
218	1741	6212
219	1746	6191
220	1748	6163
221	1750	6133
222	1752	6105
223	1754	6076
224	1755	6047
225	1759	6024
226	1761	5998
227	1763	5970
228	1765	5942
229	1766	5915
230	1768	5887
231	1770	5859
232	1772	5835
233	1775	5812
234	1777	5785
235	1779	5759
236	1780	5733
237	1782	5706
238	1784	5681
239	1790	5671
240	1792	5645
241	1794	5620
242	1796	5597
243	1798	5571
244	1800	5547
245	1804	5531
246	1806	5506
247	1808	5482
248	1809	5458
249	1811	5435
250	1813	5411
251	1818	5396
252	1821	5377
253	1823	5356
254	1825	5333
255	1829	5317
256	1831	5295
257	1833	5272
258	1834	5249
259	1837	5228
260	1838	5206
261	1843	5193
262	1845	5172
263	1847	5150
264	1849	5129
265	1851	5108
266	1853	5087
267	1854	5065
268	1857	5048
269	1859	5028
270	1861	5007
271	1863	4986
